Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_login,Chrome 128.0.0.0,Login Facebook,,30-08-2024 23:07:31,30-08-2024 23:08:02,30.115s,FAILED
,,,,,,,
Test Cases/TC001_negativeLogin_invalidPassword,Chrome 128.0.0.0,,,30-08-2024 23:07:32,30-08-2024 23:07:41,9.404s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:07:32,30-08-2024 23:07:34,1.858s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:07:34,30-08-2024 23:07:34,0.343s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:07:34,30-08-2024 23:07:35,1.050s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 1))",Chrome 128.0.0.0,,,30-08-2024 23:07:35,30-08-2024 23:07:36,1.016s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 1))",Chrome 128.0.0.0,,,30-08-2024 23:07:36,30-08-2024 23:07:37,0.543s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:07:37,30-08-2024 23:07:37,0.282s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidPassword_message""), findTestData(""user_login"").getValue(3, 1))",Chrome 128.0.0.0,,,30-08-2024 23:07:37,30-08-2024 23:07:41,4.075s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:07:41,30-08-2024 23:07:41,0.107s,PASSED
,,,,,,,
Test Cases/TC002_negativeLogin_invalidEmail,Chrome 128.0.0.0,,,30-08-2024 23:07:41,30-08-2024 23:07:48,7.164s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:07:41,30-08-2024 23:07:42,0.756s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:07:42,30-08-2024 23:07:42,0.327s,PASSED
