Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_login,Chrome 128.0.0.0,Login Facebook,,30-08-2024 23:02:36,30-08-2024 23:03:31,55.104s,FAILED
,,,,,,,
Test Cases/TC001_negativeLogin_invalidPassword,Chrome 128.0.0.0,,,30-08-2024 23:02:36,30-08-2024 23:02:45,8.922s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:02:36,30-08-2024 23:02:38,2.093s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:02:38,30-08-2024 23:02:38,0.338s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:02:38,30-08-2024 23:02:39,0.846s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 1))",Chrome 128.0.0.0,,,30-08-2024 23:02:39,30-08-2024 23:02:40,0.896s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 1))",Chrome 128.0.0.0,,,30-08-2024 23:02:40,30-08-2024 23:02:41,0.736s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:02:41,30-08-2024 23:02:41,0.275s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidPassword_message""), findTestData(""user_login"").getValue(3, 1))",Chrome 128.0.0.0,,,30-08-2024 23:02:41,30-08-2024 23:02:45,3.530s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:02:45,30-08-2024 23:02:45,0.101s,PASSED
,,,,,,,
Test Cases/TC002_negativeLogin_invalidEmail,Chrome 128.0.0.0,,,30-08-2024 23:02:45,30-08-2024 23:02:51,6.506s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:02:45,30-08-2024 23:02:46,0.854s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:02:46,30-08-2024 23:02:46,0.348s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:02:46,30-08-2024 23:02:47,0.821s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 2))",Chrome 128.0.0.0,,,30-08-2024 23:02:47,30-08-2024 23:02:48,0.683s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 2))",Chrome 128.0.0.0,,,30-08-2024 23:02:48,30-08-2024 23:02:48,0.714s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:02:48,30-08-2024 23:02:49,0.268s,PASSED
