Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 2))",Chrome 128.0.0.0,,,30-08-2024 23:05:54,30-08-2024 23:05:55,0.572s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 2))",Chrome 128.0.0.0,,,30-08-2024 23:05:55,30-08-2024 23:05:55,0.720s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:05:55,30-08-2024 23:05:56,0.257s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidEmail_message""), findTestData(""user_login"").getValue(3, 2))",Chrome 128.0.0.0,,,30-08-2024 23:05:56,30-08-2024 23:05:58,1.755s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:05:58,30-08-2024 23:05:58,0.095s,PASSED
,,,,,,,
Test Cases/TC003_negativeLogin_emptyField,Chrome 128.0.0.0,,,30-08-2024 23:05:58,30-08-2024 23:06:02,4.900s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:05:58,30-08-2024 23:05:58,0.825s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:05:58,30-08-2024 23:05:59,0.341s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:05:59,30-08-2024 23:06:00,0.925s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 3))",Chrome 128.0.0.0,,,30-08-2024 23:06:00,30-08-2024 23:06:00,0.533s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 3))",Chrome 128.0.0.0,,,30-08-2024 23:06:00,30-08-2024 23:06:01,0.726s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:06:01,30-08-2024 23:06:01,0.253s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidEmail_message""), findTestData(""user_login"").getValue(3, 3))",Chrome 128.0.0.0,,,30-08-2024 23:06:01,30-08-2024 23:06:02,1.254s,FAILED
,,,,,,,
Test Cases/TC004_positiveLoginWithEmail,Chrome 128.0.0.0,,,30-08-2024 23:06:03,30-08-2024 23:06:10,7.878s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:06:03,30-08-2024 23:06:03,0.857s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:06:03,30-08-2024 23:06:04,0.330s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:06:04,30-08-2024 23:06:05,0.913s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 4))",Chrome 128.0.0.0,,,30-08-2024 23:06:05,30-08-2024 23:06:05,0.566s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 4))",Chrome 128.0.0.0,,,30-08-2024 23:06:05,30-08-2024 23:06:06,0.724s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:06:06,30-08-2024 23:06:06,0.259s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/home_page/search_field""), 0)",Chrome 128.0.0.0,,,30-08-2024 23:06:06,30-08-2024 23:06:10,4.059s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:06:10,30-08-2024 23:06:10,0.116s,PASSED
