Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_login,Chrome 128.0.0.0,Login Facebook,,30-08-2024 23:05:42,30-08-2024 23:06:10,27.996s,FAILED
,,,,,,,
Test Cases/TC001_negativeLogin_invalidPassword,Chrome 128.0.0.0,,,30-08-2024 23:05:42,30-08-2024 23:05:52,9.950s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:05:43,30-08-2024 23:05:45,1.996s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:05:45,30-08-2024 23:05:45,0.406s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:05:45,30-08-2024 23:05:46,0.896s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 1))",Chrome 128.0.0.0,,,30-08-2024 23:05:46,30-08-2024 23:05:47,0.918s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 1))",Chrome 128.0.0.0,,,30-08-2024 23:05:47,30-08-2024 23:05:48,0.737s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:05:48,30-08-2024 23:05:48,0.274s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidPassword_message""), findTestData(""user_login"").getValue(3, 1))",Chrome 128.0.0.0,,,30-08-2024 23:05:48,30-08-2024 23:05:52,4.511s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:05:52,30-08-2024 23:05:52,0.100s,PASSED
,,,,,,,
Test Cases/TC002_negativeLogin_invalidEmail,Chrome 128.0.0.0,,,30-08-2024 23:05:52,30-08-2024 23:05:58,5.203s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:05:52,30-08-2024 23:05:53,0.683s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:05:53,30-08-2024 23:05:53,0.330s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:05:53,30-08-2024 23:05:54,0.755s,PASSED
