Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_login,Chrome 128.0.0.0,Login Facebook,,30-08-2024 23:10:45,30-08-2024 23:11:14,28.371s,PASSED
,,,,,,,
Test Cases/TC001_negativeLogin_invalidPassword,Chrome 128.0.0.0,,,30-08-2024 23:10:45,30-08-2024 23:10:55,9.541s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:10:46,30-08-2024 23:10:48,2.188s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:10:48,30-08-2024 23:10:48,0.377s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:10:48,30-08-2024 23:10:49,0.925s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 1))",Chrome 128.0.0.0,,,30-08-2024 23:10:49,30-08-2024 23:10:50,0.925s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 1))",Chrome 128.0.0.0,,,30-08-2024 23:10:50,30-08-2024 23:10:51,0.753s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:10:51,30-08-2024 23:10:51,0.270s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidPassword_message""), findTestData(""user_login"").getValue(3, 1))",Chrome 128.0.0.0,,,30-08-2024 23:10:51,30-08-2024 23:10:55,3.897s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:10:55,30-08-2024 23:10:55,0.101s,PASSED
,,,,,,,
Test Cases/TC002_negativeLogin_invalidEmail,Chrome 128.0.0.0,,,30-08-2024 23:10:55,30-08-2024 23:11:01,5.558s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:10:55,30-08-2024 23:10:56,0.707s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:10:56,30-08-2024 23:10:56,0.336s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:10:56,30-08-2024 23:10:57,0.835s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 2))",Chrome 128.0.0.0,,,30-08-2024 23:10:57,30-08-2024 23:10:57,0.576s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 2))",Chrome 128.0.0.0,,,30-08-2024 23:10:57,30-08-2024 23:10:58,0.718s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:10:58,30-08-2024 23:10:58,0.264s,PASSED
